section,split,method,difficulty,metric,unit,n,mean,sample_sd,ci95_lower,ci95_upper
main,Validation-Seen,Random,Easy,NE,m,5,268.5,2.064271353841955,265.9368685774111,271.0631314225889
main,Validation-Seen,Random,Easy,SR,percent,5,0.6,0.17874043628289607,0.3780644352442937,0.8219355647557063
main,Validation-Seen,Random,Easy,OSR,percent,5,1.8,0.4319484148239304,1.2636652042319394,2.3363347957680607
main,Validation-Seen,Random,Easy,nDTW,percent,5,28.3,0.1273091566504956,28.141924803545397,28.458075196454605
main,Validation-Seen,Random,Easy,SPL,percent,5,0.4,0.24482654148792346,0.09600769762970462,0.7039923023702954
main,Validation-Seen,Random,Normal,NE,m,5,308.7000000000001,1.714388352306684,306.571305704001,310.8286942959992
main,Validation-Seen,Random,Normal,SR,percent,5,0,0,0,0
main,Validation-Seen,Random,Normal,OSR,percent,5,0.8,0.33412712710695336,0.38512637544804224,1.2148736245519578
main,Validation-Seen,Random,Normal,nDTW,percent,5,20,0.306750639714522,19.619118774240505,20.380881225759495
main,Validation-Seen,Random,Normal,SPL,percent,5,0,0,0,0
main,Validation-Seen,Random,Hard,NE,m,5,398.9,2.0934441959392176,396.3006457096536,401.49935429034633
main,Validation-Seen,Random,Hard,SR,percent,5,0,0,0,0
main,Validation-Seen,Random,Hard,OSR,percent,5,0.2,0.15785707682192854,0.003994550848525097,0.39600544915147495
main,Validation-Seen,Random,Hard,nDTW,percent,5,12.1,0.44812164477537947,11.543583486866554,12.656416513133445
main,Validation-Seen,Random,Hard,SPL,percent,5,0,0,0,0
main,Validation-Seen,Seq2Seq-VG,Easy,NE,m,5,205.8,2.2804177300358397,202.96848740374895,208.63151259625107
main,Validation-Seen,Seq2Seq-VG,Easy,SR,percent,5,1.2,0.1711324022652041,0.9875110571811714,1.4124889428188285
main,Validation-Seen,Seq2Seq-VG,Easy,OSR,percent,5,5.4,0.10238393508245512,5.272873553813684,5.527126446186316
main,Validation-Seen,Seq2Seq-VG,Easy,nDTW,percent,5,30.1,0.11255216894689625,29.96024802389889,30.23975197610111
main,Validation-Seen,Seq2Seq-VG,Easy,SPL,percent,5,0.9,0.46694718280572317,0.32020849404746066,1.4797915059525395
main,Validation-Seen,Seq2Seq-VG,Normal,NE,m,5,251.6,1.621866465765554,249.58618679956493,253.61381320043506
main,Validation-Seen,Seq2Seq-VG,Normal,SR,percent,5,0.5,0.43157148802456796,-0.035866779331333976,1.035866779331334
main,Validation-Seen,Seq2Seq-VG,Normal,OSR,percent,5,2.9,0.44569337155600514,2.346598586300854,3.453401413699146
main,Validation-Seen,Seq2Seq-VG,Normal,nDTW,percent,5,21.000000000000004,0.47972979692442447,20.404336782293342,21.595663217706665
main,Validation-Seen,Seq2Seq-VG,Normal,SPL,percent,5,0.3000000000000001,0.2052713363444541,0.04512197179791505,0.5548780282020851
